,Title,Listed count
1,Ulysses,51.0
2,The Great Gatsby ,50.0
3,One Hundred Years of Solitude ,44.0
4,Lolita ,43.0
5,Nineteen Eighty Four,42.0
6,Don Quixote,42.0
7,Moby Dick,42.0
8,The Catcher in the Rye,41.0
9,In Search of Lost Time ,41.0
10,Pride and Prejudice,39.0
11,The Grapes of Wrath ,39.0
12,The Adventures of Huckleberry Finn,38.0
13,Beloved,37.0
14,Heart of Darkness,37.0
15,War and Peace,37.0
16,Catch-22 ,36.0
17,Madame Bovary,35.0
18,The Odyssey,35.0
19,Wuthering Heights,34.0
20,The Iliad,33.0
21,The Divine Comedy ,33.0
22,Crime and Punishment ,33.0
23,Invisible Man ,33.0
24,The Sound and the Fury,31.0
25,Alice's Adventures in Wonderland ,31.0
26,The Bible,30.0
27,To Kill a Mockingbird ,30.0
28,Anna Karenina,29.0
29,Brave New World,28.0
30,The Stranger ,28.0
31,The Brothers Karamazov ,28.0
32,Midnight's Children ,28.0
33,Frankenstein ,27.0
34,On the Road,26.0
35,Jane Eyre,26.0
36,Great Expectations,26.0
37,To the Lighthouse ,26.0
38,The Trial,25.0
39,Gulliver's Travels,25.0
40,The Sun Also Rises ,25.0
41,Middlemarch,24.0
42,David Copperfield,23.0
43,A Passage to India ,23.0
44,Animal Farm,22.0
45,As I Lay Dying,22.0
46,Mrs. Dalloway ,22.0
47,The Lord of the Rings,21.0
48,The Color Purple,21.0
49,"Absalom, Absalom!",21.0
50,One Thousand and One Nights,21.0
51,A Portrait of the Artist as a Young Man ,21.0
52,Native Son ,21.0
53,Things Fall Apart ,20.0
54,The Canterbury Tales,20.0
55,The Aeneid,20.0
56,Candide,20.0
57,The Scarlet Letter,20.0
58,Les Misérables,20.0
59,Gone With the Wind ,20.0
60,Lord of the Flies ,20.0
61,Atonement,20.0
62,The Age of Innocence,19.0
63,The Red and the Black,19.0
64,The Portrait of a Lady ,19.0
65,Slaughterhouse-Five ,19.0
66,For Whom the Bell Tolls,19.0
67,The Corrections,19.0
68,The Prince,19.0
69,The Road,19.0
70,The Handmaid's Tale,18.0
71,A Clockwork Orange,18.0
72,Oedipus the King,18.0
73,Leaves of Grass,18.0
74,Tristram Shandy,18.0
75,Their Eyes Were Watching God ,18.0
76,The Old Man and the Sea,17.0
77,Tess of the d'Urbervilles,17.0
78,The Magic Mountain,17.0
79,Under the Volcano ,17.0
80,Walden,17.0
81,Waiting for Godot,17.0
82,The Big Sleep,17.0
83,Tom Jones,17.0
84,One Flew Over the Cuckoo's Nest ,17.0
85,The Brief Wondrous Life of Oscar Wao,17.0
86,The Interpretation of Dreams,17.0
87,On the Origin of Species,17.0
88,Charlotte's Web,16.0
89,Rebecca,16.0
90,All the King's Men,16.0
91,Vanity Fair,16.0
92,Hamlet,16.0
93,The Stories of Anton Chekhov,16.0
94,First Folio,16.0
95,Paradise Lost,16.0
96,American Pastoral,16.0
97,A Farewell to Arms,16.0
98,Robinson Crusoe,16.0
99,Confessions ,16.0
100,The Diary of a Young Girl,16.0
101,In Cold Blood,15.0
102,The Call of the Wild,15.0
103,The Master and Margarita,15.0
104,The Good Soldier,15.0
105,Collected Fiction,15.0
106,Faust,15.0
107,The Tin Drum,15.0
108,Essays,15.0
109,The Complete Tales and Poems of Edgar Allan Poe,15.0
110,Emma,15.0
111,Pale Fire ,15.0
112,"Rabbit, Run ",15.0
113,Antigone,15.0
114,The Metamorphosis,15.0
115,Silent Spring,15.0
116,Harry Potter And The Philosopher's Stone,15.0
117,The Little Prince,14.0
118,The Wind in the Willows,14.0
119,The Hitchhiker's Guide to the Galaxy,14.0
120,My Antonia,14.0
121,All Quiet on the Western Front,14.0
122,Song of Solomon,14.0
123,Wide Sargasso Sea,14.0
124,A Confederacy of Dunces,14.0
125,Blood Meridian,14.0
126,The Amazing Adventures of Kavalier and Clay,14.0
127,The Picture of Dorian Gray,14.0
128,Austerlitz ,14.0
129,The Republic,14.0
130,Lady Chatterley's Lover,13.0
131,Women in Love,13.0
132,Doctor Zhivago,13.0
133,Brideshead Revisited,13.0
134,Dracula,13.0
135,The Count of Monte Cristo,13.0
136,The Golden Notebook,13.0
137,Disgrace,13.0
138,The Idiot,13.0
139,The Waste Land,13.0
140,White Teeth ,13.0
141,Fathers and Sons,13.0
142,The Bell Jar,13.0
143,Gravity's Rainbow ,13.0
144,The Remains of the Day,13.0
145,The Autobiography of Malcolm X,13.0
146,An American Tragedy,13.0
147,Dune,12.0
148,Of Mice and Men,12.0
149,Little Women,12.0
150,The Moviegoer,12.0
151,Howards End,12.0
152,The Complete Stories of Franz Kafka,12.0
153,Sons and Lovers,12.0
154,Journey to the End of The Night,12.0
155,Collected Poems,12.0
156,The Complete Stories of Flannery O'Connor,12.0
157,Middlesex,12.0
158,Lucky Jim ,12.0
159,Money ,12.0
160,Gilead,12.0
161,Fahrenheit 451,11.0
162,Buddenbrooks,11.0
163,Atlas Shrugged,11.0
164,The Castle,11.0
165,The Possessed,11.0
166,Dead Souls,11.0
167,The Tale of Genji,11.0
168,Poems of Emily Dickinson,11.0
169,The Adventures of Augie March,11.0
170,Lord Jim,11.0
171,Rabbit Is Rich,11.0
172,The Wind-Up Bird Chronicle,11.0
173,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,11.0
174,Treasure Island,11.0
175,Oedipus at Colonus,11.0
176,Tropic of Cancer ,11.0
177,The Things They Carried,11.0
178,Ragtime,10.0
179,Bleak House,10.0
180,Fairy Tales and Stories,10.0
181,Decameron,10.0
182,Nostromo,10.0
183,The Man Without Qualities,10.0
184,Collected Poems of W. B. Yeats,10.0
185,Orlando: A Biography,10.0
186,Rabbit at Rest,10.0
187,The Prime of Miss Jean Brodie ,10.0
188,The Charterhouse of Parma,10.0
189,Love in the Time of Cholera,10.0
190,A Room of One's Own,10.0
191,Infinite Jest ,10.0
192,The Unbearable Lightness of Being,10.0
193,Cloud Atlas,10.0
194,Light in August ,10.0
195,The Strange Case of Dr. Jekyll and Mr. Hyde,10.0
196,If on a Winter's Night a Traveller ,10.0
197,Communist Manifesto,10.0
198,Jude the Obscure,10.0
199,The Hound of the Baskervilles,10.0
200,Steppenwolf,10.0
201,U.S.A. Trilogy,10.0
202,Go Tell it on the Mountain ,10.0
203,A Bend in the River,10.0
204,A Visit From The Goon Squad,10.0
205,"I, Claudius ",10.0
206,The Double Helix: A Personal Account of the Discovery of the Structure of DNA,10.0
207,Sophie's Choice,9.0
208,"Look Homeward, Angel",9.0
209,Call It Sleep,9.0
210,The Secret History,9.0
211,A Tale of Two Cities,9.0
212,The Stand,9.0
213,The Heart Is A Lonely Hunter,9.0
214,Medea,9.0
215,Mahabharata,9.0
216,Metamorphoses,9.0
217,Gargantua and Pantagruel,9.0
218,The Leopard,9.0
219,Dangerous Liaison,9.0
220,Stories of Ernest Hemingway,9.0
221,The Ambassadors,9.0
222,Oresteia,9.0
223,Rabbit Redux,9.0
224,The Stories of John Cheever,9.0
225,2666,9.0
226,Herzog ,9.0
227,The House of Mirth,9.0
228,The Jungle,9.0
229,A Room With a View,9.0
230,The Maltese Falcon,9.0
231,Portnoy's Complaint ,9.0
232,Neuromancer ,9.0
233,White Noise ,9.0
234,A Prayer for Owen Meany ,9.0
235,Underworld,9.0
236,The Line of Beauty,9.0
237,The Red Badge of Courage,9.0
238,The Structure of Scientific Revolutions,9.0
239,Democracy in America,9.0
240,The Histories of Herodotus,9.0
241,Never Let Me Go ,9.0
242,Wolf Hall,9.0
243,A House for Mr. Biswas ,9.0
244,Household Tales,9.0
245,The Year of Magical Thinking,9.0
246,Beowulf,9.0
247,The Known World,9.0
248,Housekeeping,9.0
249,The Hobbit,8.0
250,Harry Potter and the Deathly Hallows,8.0
251,Gone Girl,8.0
252,The Book Thief,8.0
253,Life of Pi,8.0
254,Lonesome Dove,8.0
255,Winnie the Pooh,8.0
256,"Winesburg, Ohio",8.0
257,Wise Blood,8.0
258,The Time Machine,8.0
259,Naked Lunch,8.0
260,The Good Earth,8.0
261,Father Goriot,8.0
262,Epic of Gilgamesh,8.0
263,King Lear,8.0
264,Doctor Faustus,8.0
265,The Complete Sherlock Holmes,8.0
266,Bonfire of the Vanities,8.0
267,The Tempest,8.0
268,"The Sea, The Sea",8.0
269,The Plague,8.0
270,Das Kapital,8.0
271,The Second Sex,8.0
272,Pensées,8.0
273,The Three Musketeers,8.0
274,Uncle Tom's Cabin,8.0
275,The Awakening,8.0
276,Kim,8.0
277,The Poisonwood Bible,8.0
278,The World According to Garp,8.0
279,A Tree Grows in Brooklyn,8.0
280,Possession ,8.0
281,Relativity,8.0
282,"The General Theory of Employment, Interest and Money",8.0
283,Let Us Now Praise Famous Men,8.0
284,The Naked Dead,8.0
285,The Right Stuff,8.0
286,The Tipping Point,8.0
287,The Curious Incident of the Dog in the Night-time,8.0
288,Harry Potter and the Goblet of Fire ,8.0
289,The Wealth of Nations,8.0
290,Harry Potter and the Half-Blood Prince,7.0
291,Watership Down,7.0
292,A Brief History of Time,7.0
293,Ethan Frome,7.0
294,One Day in the Life of Ivan Denisovich,7.0
295,2001: A Space Odyssey,7.0
296,Death Comes for the Archbishop,7.0
297,Scoop,7.0
298,Main Street,7.0
299,A Suitable Boy,7.0
300,The English Patient,7.0
301,The Blind Assassin,7.0
302,Hunger,7.0
303,A Doll's House,7.0
304,The Flowers of Evil,7.0
305,Dubliners,7.0
306,Macbeth,7.0
307,Tender Is the Night,7.0
308,Clarissa,7.0
309,De Rerum Natura,7.0
310,The Pickwick Papers,7.0
311,The Elements of Style,7.0
312,Nausea,7.0
313,Thus Spake Zarathustra,7.0
314,Twenty Thousand Leagues Under the Sea,7.0
315,The Confessions of Jean-Jacques Rousseau,7.0
316,The Complete Works of Plato,7.0
317,The Adventures of Oliver Twist,7.0
318,War of the Worlds,7.0
319,The Rainbow,7.0
320,The Counterfeiters,7.0
321,The Good Soldier Svejk,7.0
322,The French Lieutenant's Woman ,7.0
323,I Know Why the Caged Bird Sings,7.0
324,The Name of the Rose,7.0
325,Watchmen ,7.0
326,Half of a Yellow Sun,7.0
327,The Joy Luck Club,7.0
328,The Fountainhead,7.0
329,The Essential Writings of Ralph Waldo Emerson,7.0
330,The Civil War,7.0
331,Leviathan,7.0
332,Finnegans Wake,7.0
333,The Day of the Locust ,7.0
334,The Quran,7.0
335,Pilgrim's Progress ,7.0
336,Le Morte d'Arthur,7.0
337,His Dark Materials,7.0
338,Americanah,7.0
339,At Swim Two-Birds,7.0
340,Principia Mathematica,7.0
341,Dream of the Red Chamber,6.0
342,The Da Vinci Code,6.0
343,Harry Potter and the Order of the Phoenix,6.0
344,The Kite Runner,6.0
345,Where the Wild Things Are,6.0
346,Life After Life,6.0
347,"Cry, the Beloved Country",6.0
348,The Mill on the Floss,6.0
349,Another Country,6.0
350,The Art of War,6.0
351,A Christmas Carol,6.0
352,Silas Marner,6.0
353,Zen and the Art of Motorcycle Maintenance,6.0
354,The Magus,6.0
355,Berlin Alexanderplatz,6.0
356,A Sentimental Education,6.0
357,Molloy,6.0
358,Malone Dies,6.0
