,Title,Listed count,Author
1,Ulysses,51.0,"Joyce, James"
2,The Great Gatsby ,50.0,F. Scott Fitzgerald
3,One Hundred Years of Solitude ,44.0,Gabriel Garcia Marquez
4,Lolita ,43.0,Vladimir Nabokov
5,Nineteen Eighty Four,42.0,"Orwell, George"
6,Don Quixote,42.0,Miguel de Cervantes
7,Moby Dick,42.0,Herman Melville
8,The Catcher in the Rye,41.0,J. D. Salinger
9,In Search of Lost Time ,41.0,Marcel Proust
10,Pride and Prejudice,39.0,Jane Austen
11,The Grapes of Wrath ,39.0,John Steinbeck
12,The Adventures of Huckleberry Finn,38.0, Mark Twain
13,Beloved,37.0,"Morrison, Toni"
14,Heart of Darkness,37.0,"Conrad, Joseph"
15,War and Peace,37.0, Leo Tolstoy
16,Catch-22 ,36.0,Joseph Heller
17,Madame Bovary,35.0,Gustave Flaubert
18,The Odyssey,35.0,Homer
19,Wuthering Heights,34.0, Emily Brontë
20,The Iliad,33.0, Homer
21,The Divine Comedy ,33.0,Dante Alighieri
22,Crime and Punishment ,33.0,Fyodor Dostoyevsky
23,Invisible Man ,33.0,Ralph Ellison
24,The Sound and the Fury,31.0,William Faulkner
25,Alice's Adventures in Wonderland ,31.0,Lewis Carroll
26,The Bible,30.0,Christian Church
27,To Kill a Mockingbird ,30.0,Harper Lee
28,Anna Karenina,29.0, Leo Tolstoy
29,Brave New World,28.0,"Huxley, Aldous"
30,The Stranger ,28.0,Albert Camus
31,The Brothers Karamazov ,28.0,Fyodor Dostoyevsky
32,Midnight's Children ,28.0,Salman Rushdie
33,Frankenstein ,27.0,Mary Shelley
34,On the Road,26.0,"Kerouac, Jack"
35,Jane Eyre,26.0, Charlotte Bronte
36,Great Expectations,26.0, Charles Dickens
37,To the Lighthouse ,26.0,Virginia Woolf
38,The Trial,25.0,Franz Kafka
39,Gulliver's Travels,25.0,Jonathan Swift
40,The Sun Also Rises ,25.0,Ernest Hemingway
41,Middlemarch,24.0, George Eliot
42,David Copperfield,23.0,Charles Dickens
43,A Passage to India ,23.0,E. M. Forster
44,Animal Farm,22.0,George Orwell
45,As I Lay Dying,22.0, William Faulkner
46,Mrs. Dalloway ,22.0,Virginia Woolf
47,The Lord of the Rings,21.0, J. R. R. Tolkien
48,The Color Purple,21.0, Alice Walker
49,"Absalom, Absalom!",21.0,William Faulkner
50,One Thousand and One Nights,21.0,India/Iran/Iraq/Egypt
51,A Portrait of the Artist as a Young Man ,21.0,James Joyce
52,Native Son ,21.0,Richard Wright
53,Things Fall Apart ,20.0,Chinua Achebe
54,The Canterbury Tales,20.0,Geoffrey Chaucer
55,The Aeneid,20.0,Virgil
56,Candide,20.0,Voltaire
57,The Scarlet Letter,20.0,Nathaniel Hawthorne
58,Les Misérables,20.0,Victor Hugo
59,Gone With the Wind ,20.0,Margaret Mitchell
60,Lord of the Flies ,20.0,William Golding
61,Atonement,20.0,Ian McEwan
62,The Age of Innocence,19.0, Edith Wharton
63,The Red and the Black,19.0,Stendhal
64,The Portrait of a Lady ,19.0,Henry James
65,Slaughterhouse-Five ,19.0,Kurt Vonnegut
66,For Whom the Bell Tolls,19.0,Ernest Hemingway
67,The Corrections,19.0,Jonathan Franzen
68,The Prince,19.0,Niccolo Machiavelli
69,The Road,19.0,Cormac McCarthy
70,The Handmaid's Tale,18.0, Margaret Atwood
71,A Clockwork Orange,18.0, Anthony Burgess
72,Oedipus the King,18.0,Sophocles
73,Leaves of Grass,18.0,Walt Whitman
74,Tristram Shandy,18.0,Laurence Sterne
75,Their Eyes Were Watching God ,18.0,Zora Neale Hurston
76,The Old Man and the Sea,17.0,Ernest Hemingway
77,Tess of the d'Urbervilles,17.0, Thomas Hardy
78,The Magic Mountain,17.0,Thomas Mann
79,Under the Volcano ,17.0,Malcolm Lowry
80,Walden,17.0,Henry David Thoreau
81,Waiting for Godot,17.0,Samuel Beckett
82,The Big Sleep,17.0,Raymond Chandler
83,Tom Jones,17.0,Henry Fielding
84,One Flew Over the Cuckoo's Nest ,17.0,Ken Kesey
85,The Brief Wondrous Life of Oscar Wao,17.0,Junot Diaz
86,The Interpretation of Dreams,17.0,Sigmund Freud
87,On the Origin of Species,17.0,Charles Darwin
88,Charlotte's Web,16.0,E. B. White; illustrated by Garth Williams
89,Rebecca,16.0,Daphne du Maurier
90,All the King's Men,16.0,"Warren, Robert Penn"
91,Vanity Fair,16.0, William Makepeace Thackeray
92,Hamlet,16.0,William Shakespeare
93,The Stories of Anton Chekhov,16.0,Anton Chekhov
94,First Folio,16.0,William Shakespeare
95,Paradise Lost,16.0,John Milton
96,American Pastoral,16.0,Philip Roth
97,A Farewell to Arms,16.0,Ernest Hemingway
98,Robinson Crusoe,16.0,Daniel Defoe
99,Confessions ,16.0,Augustine
100,The Diary of a Young Girl,16.0,Anne Frank
101,In Cold Blood,15.0, Truman Capote
102,The Call of the Wild,15.0, Jack London
103,The Master and Margarita,15.0, Mikhail Bulgakov
104,The Good Soldier,15.0, Ford Madox Ford
105,Collected Fiction,15.0,Jorge Luis Borges
106,Faust,15.0,Johann Wolfgang von Goethe
107,The Tin Drum,15.0,Günter Grass
108,Essays,15.0,Michel de Montaigne
109,The Complete Tales and Poems of Edgar Allan Poe,15.0,Edgar Allan Poe
110,Emma,15.0,Jane Austen
111,Pale Fire ,15.0,Vladimir Nabokov
112,"Rabbit, Run ",15.0,John Updike
113,Antigone,15.0,Sophocles
114,The Metamorphosis,15.0,Franz Kafka
115,Silent Spring,15.0,Rachel Carson
116,Harry Potter And The Philosopher's Stone,15.0,J. K Rowling
117,The Little Prince,14.0,Antoine de Saint-Exupéry
118,The Wind in the Willows,14.0,Kenneth Grahame
119,The Hitchhiker's Guide to the Galaxy,14.0,Douglas Adams
120,My Antonia,14.0,"Cather, Willa"
121,All Quiet on the Western Front,14.0,"Remarque, Erich Maria"
122,Song of Solomon,14.0,"Morrison, Toni"
123,Wide Sargasso Sea,14.0,"Rhys, Jean"
124,A Confederacy of Dunces,14.0, John Kennedy Toole
125,Blood Meridian,14.0, Cormac McCarthy
126,The Amazing Adventures of Kavalier and Clay,14.0,Michael Chabon
127,The Picture of Dorian Gray,14.0,Oscar Wilde
128,Austerlitz ,14.0,W. G. Sebald
129,The Republic,14.0,Plato
130,Lady Chatterley's Lover,13.0,"Lawrence, D. H."
131,Women in Love,13.0,"Lawrence, D. H."
132,Doctor Zhivago,13.0,"Pasternak, Boris"
133,Brideshead Revisited,13.0,"Waugh, Evelyn"
134,Dracula,13.0, Bram Stoker
135,The Count of Monte Cristo,13.0, Alexandre Dumas
136,The Golden Notebook,13.0, Doris Lessing
137,Disgrace,13.0, J. M. Coetzee
138,The Idiot,13.0,Fyodor Dostoyevsky
139,The Waste Land,13.0,T. S. Eliot
140,White Teeth ,13.0,Zadie Smith
141,Fathers and Sons,13.0,Ivan Turgenev
142,The Bell Jar,13.0,Sylvia Plath
143,Gravity's Rainbow ,13.0,Thomas Pynchon
144,The Remains of the Day,13.0,Kazuo Ishiguro
145,The Autobiography of Malcolm X,13.0,Alex Haley
146,An American Tragedy,13.0,Theodore Dreiser
147,Dune,12.0,Frank Herbert
148,Of Mice and Men,12.0,"Steinbeck, John"
149,Little Women,12.0, Louisa May Alcott
150,The Moviegoer,12.0, Walker Percy
151,Howards End,12.0, E. M. Forster
152,The Complete Stories of Franz Kafka,12.0,Franz Kafka
153,Sons and Lovers,12.0,D. H. Lawrence
154,Journey to the End of The Night,12.0,Louis-Ferdinand Céline
155,Collected Poems,12.0,Wallace Stevens
156,The Complete Stories of Flannery O'Connor,12.0,Flannery O'Connor
157,Middlesex,12.0,Jeffrey Eugenides
158,Lucky Jim ,12.0,Kingsley Amis
159,Money ,12.0,Martin Amis
160,Gilead,12.0,Marilynne Robinson
161,Fahrenheit 451,11.0,Ray Bradbury
162,Buddenbrooks,11.0, Thomas Mann
163,Atlas Shrugged,11.0, Ayn Rand
164,The Castle,11.0, Franz Kafka
165,The Possessed,11.0,Fyodor Dostoyevsky
166,Dead Souls,11.0,Nikolai Gogol
167,The Tale of Genji,11.0,Murasaki Shikibu
168,Poems of Emily Dickinson,11.0,Emily Dickinson
169,The Adventures of Augie March,11.0,Saul Bellow
170,Lord Jim,11.0,Joseph Conrad
171,Rabbit Is Rich,11.0,John Updike
172,The Wind-Up Bird Chronicle,11.0,Haruki Murakami
173,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,11.0,Hunter S. Thompson
174,Treasure Island,11.0,Robert Louis Stevenson
175,Oedipus at Colonus,11.0,Sophocles
176,Tropic of Cancer ,11.0,Henry Miller
177,The Things They Carried,11.0,Tim O'Brien
178,Ragtime,10.0,"Doctorow, E. L."
179,Bleak House,10.0, Charles Dickens
180,Fairy Tales and Stories,10.0,Hans Christian Anderson
